Station;Long_DD;Lat_DD;Bot_depth;Bot_depth_GIS;Location;Survey;Site_Statu;Site_start;Site_end;note;Region;Program;DataAvaila;POINT_X;POINT_Y;workarea;Organization;CreationDate;Creator;EditDate;Editor;x;y
FHE02;-127.754;51.6139;180;40;Fish Egg Inlet;South Herring;Active;12/31/2012;; ;Central Coast;Oceanography; ;-127.754;51.6139000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.75399999999996;51.61390000000006
FHE04;-127.8275;51.6559;33;1;Illahie Inlet;South Herring;Active;12/31/2012;; ;Central Coast;Oceanography; ;-127.8275;51.6559;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.8275;51.65590000000003
FZH01;-127.8958;51.6394;290;299;Fitz Hugh Sound;Kwakshua;Active;12/31/2012;; ;Central Coast;Oceanography; ;-127.8958;51.6394000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.89579999999997;51.63940000000008
FZH02;-127.8714;51.6683;20;23;Fitz Hugh Sound;South Herring;Active;12/31/2012;; ;Central Coast;Oceanography; ;-127.8714;51.6683;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.8714;51.668300000000045
FZH03;-127.884;51.6921;27;27;Fitz Hugh Sound;South Herring;Active;12/31/2012;; ;Central Coast;Oceanography; ;-127.884;51.6921;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.88399999999996;51.69210000000004
FZH04;-127.955;51.821;310;311;Fitz Hugh Sound;Koeye;Not Active;12/31/2012;; ;Central Coast;Oceanography; ;-127.955;51.821;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.95499999999998;51.821000000000026
FZH07;-127.9373;51.7034;374;329;Fitz Hugh Sound;Koeye;Active;12/31/2012;; ;Central Coast;Oceanography; ;-127.9373;51.7034;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.9373;51.703400000000045
FZH08;-127.9436;51.759;420;384;Fitz Hugh Sound;Koeye;Active;12/31/2012;; ;Central Coast;Oceanography; ;-127.9436;51.7590000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.94359999999996;51.75900000000007
FZH09;-127.982;51.896;305;280;Fitz Hugh Sound;Burke Channel;Not Active;12/31/2013;; ;Central Coast;Oceanography; ;-127.982;51.8960000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.98199999999996;51.89600000000007
FZH10;-127.935;51.902;336;340;Fitz Hugh Sound;Burke Channel;Not Active;12/31/2013;; ;Central Coast;Oceanography; ;-127.935;51.9020000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.93499999999996;51.90200000000005
FZH11;-127.796333;51.49808;190;187;Fitz Hugh Sound; ;Not Active;;; ;Central Coast;Oceanography; ;-127.796333;51.4980800000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.79633299999996;51.49808000000007
FZH12;-127.89195;51.5278;125;100;Fitz Hugh Sound; ;Not Active;;; ;Central Coast;Oceanography; ;-127.89195;51.5278000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.89194999999997;51.52780000000007
FZH13;-127.8524;51.5724;226;247;Fitz Hugh Sound; ;Active;12/31/2014;; ;Central Coast;Oceanography; ;-127.8524;51.5724000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.8524;51.57240000000007
GOLDEN;-128.2131;51.9032; ;48;Golden Islands; ; ;;; ;Central Coast;Oceanography; ;-128.2131;51.9032;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.21309999999994;51.90320000000003
GOOSE;-128.4602;51.9197; ;1;Goose Island; ; ;;; ;Central Coast;Oceanography; ;-128.4602;51.9197;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.4602;51.919700000000034
HKP01;-128.079;51.7182; ;302;Hakai Pass;Koeye;Active;;; ;Central Coast;Oceanography; ;-128.079;51.7182000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.07899999999995;51.71820000000008
HKP03;-128.1636;51.7015;120;141;Hakai Pass;Queen Charlotte Sound, Ver.1;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.1636;51.7015000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.16359999999997;51.70150000000007
HKP04;-128.0068;51.7425;470;401;Hakai Pass;Koeye;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.0068;51.7425000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.00679999999994;51.742500000000064
INNERSAN;-128.114898;51.678342; ;9; ; ; ;;; ; ; ; ;-128.114898;51.678342;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.11489799999998;51.67834200000004
JEN SITE;-128.12647;51.679878; ;16; ; ; ;;; ; ; ; ;-128.12647;51.679878;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.12646999999998;51.67987800000003
IA;-128.1182;51.6727; ;7;Choked Pass; ; ;;;a.k.a. Inner Ang;Central Coast;Oceanography; ;-128.1182;51.6727000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.11819999999994;51.67270000000008
ID;-128.1178;51.6745; ;7;Choked Pass; ; ;;;a.k.a. Inner Derek;Central Coast;Oceanography; ;-128.1178;51.6745000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.1178;51.67450000000008
IS;-128.1145;51.6783; ;9;Choked Pass; ; ;;;a.k.a. Inner Sandspit;Central Coast;Oceanography; ;-128.1145;51.6783;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.11449999999996;51.67830000000003
IT;-128.1195;51.6753; ;6;Choked Pass; ; ;;;a.k.a. Inner Tristan;Central Coast;Oceanography; ;-128.1195;51.6753000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.11949999999996;51.67530000000005
KC1;-128.1289;51.6545;8;6;Kwakshua Channel;Kwakshua;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.1289;51.6545;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.1289;51.65450000000004
KC10;-127.9516;51.6505;345;288;Fitz Hugh Sound;Kwakshua;Active;12/31/2012;; ;Central Coast;Oceanography; ;-127.9516;51.6505000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.95159999999998;51.65050000000008
KC11;-128.0253;51.6507;78;83;Kwakshua Channel;SOMS;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.0253;51.6507;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.02529999999996;51.65070000000003
KC12;-128.07;51.6504;22;51;Kwakshua Channel;SOMS;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.07;51.6504;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.07;51.65040000000005
KC13;-128.1199;51.6472;9;7;Kwakshua Channel;SOMS;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.1199;51.6472000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.11989999999997;51.647200000000055
KC14;-127.9961;51.6487;44;33;Kwakshua Channel;SOMS;Active;12/31/2012;; ;Central Coast;Oceanography; ;-127.9961;51.6487000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.99609999999996;51.64870000000008
KC15;-128.0034;51.6569;28;49;Kwakshua Channel;SOMS;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.0034;51.6569000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.00339999999994;51.656900000000064
KC16;-128.0419;51.6563;35;65;Kwakshua Channel;SOMS;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.0419;51.6563000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.04189999999994;51.65630000000005
KC17;-128.10295;51.65215; ;38;Kwakshua Channel;Primary Production;Active;;; ;Central Coast;Oceanography; ;-128.10295;51.6521500000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.10294999999996;51.65215000000006
KC4;-128.1149;51.6545;25;22;Kwakshua Channel;Kwakshua;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.1149;51.6545;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.11489999999998;51.65450000000004
KC7;-128.0464;51.6535;168;146;Kwakshua Channel;Kwakshua;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.0464;51.6535000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.04639999999995;51.653500000000065
KC8;-128.0017;51.6517;212;148;Kwakshua Channel;Kwakshua;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.0017;51.6517000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.00169999999997;51.65170000000006
KFPC01;-128.4319;51.900217;25;37;South Tip of Gosling Island;Outer Shores;Not Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.4319;51.9002170000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.43189999999998;51.900217000000055
KFPC04;-128.258567;51.806317;20;34;Queens Sound;Outer Shores;Not Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.258567;51.806317;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.25856699999997;51.806317000000035
KFPC06;-128.233617;51.811267;20;33;Lyte Group;Outer Shores;Not Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.233617;51.811267;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.23361699999998;51.81126700000004
KFPN03;-128.399067;52.045;20;12;Golby Passage;Outer Shores;Not Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.399067;52.0450000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.39906699999997;52.04500000000007
KFPN07;-128.261;51.961;16;50;Queens Sound;Outer Shores;Not Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.261;51.9610000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.26099999999997;51.96100000000007
KFPS01;-128.143;51.682;125;138;Starfish Island, off west side;Queen Charlotte Sound;Not Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.143;51.6820000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.14299999999997;51.68200000000007
KFPS04;-128.1171;51.6796;13;9;Choked Pass;Queen Charlotte Sound, Ver. 2;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.1171;51.6796000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.1171;51.67960000000005
KFPS05;-128.113;51.685;29;17; ;Queen Charlotte Sound;Not Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.113;51.6850000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.11299999999994;51.68500000000006
KFPS06;-128.1136;51.6944;84;58; ;Queen Charlotte Sound, Ver. 2;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.1136;51.6944;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.11359999999996;51.69440000000003
KFPS08;-128.1243;51.6803;14;13; ;Queen Charlotte Sound, Ver. 2;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.1243;51.6803;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.12429999999995;51.680300000000045
KIL03;-128.1542;51.8694;65;56;Entrance to Goodlad Bay;North Herring;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.1542;51.8694;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.15419999999995;51.86940000000004
KIL07;-128.129;51.8409;100;106;Watt Bay;North Herring;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.129;51.8409;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.12899999999996;51.84090000000003
Kildidt Sound;-128.079;51.718;300;302;Hakai Pass;Koeye; ;12/31/2012;; ;Central Coast;Oceanography; ;-128.079;51.7180000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.07899999999995;51.718000000000075
KME03;-127.8784;51.7044;17;10;?;South Herring;Active;12/31/2012;; ;Central Coast;Oceanography; ;-127.8784;51.7044000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.87839999999994;51.70440000000008
KWY01;-127.8801;51.7747;12;24;Koeye River;Koeye;Active;12/31/2012;; ;Central Coast;Oceanography; ;-127.8801;51.7747000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.88009999999996;51.77470000000005
KWY02;-127.8904;51.7724;218;253;Fitz Hugh Sound;Koeye;Active;12/31/2012;; ;Central Coast;Oceanography; ;-127.8904;51.7724000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.89039999999994;51.77240000000006
KWY03;-127.9144;51.7663;405;366;Fitz Hugh Sound;Koeye;Active;12/31/2012;; ;Central Coast;Oceanography; ;-127.9144;51.7663000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.91439999999994;51.76630000000006
MACRO1;-128.2545;51.8035;8;29;Triquet Island, north west side;Macro Survey;Active;;; ;Central Coast;Oceanography; ;-128.2545;51.8035;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.25449999999995;51.80350000000004
MACRO2;-128.0955;51.6645;8;42;Meay Channel;Macro Survey;Active;;; ;Central Coast;Oceanography; ;-128.0955;51.6645;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.09549999999996;51.66450000000003
MACRO3;-128.2654;51.8414;8;30;Spider Island, south west side;Macro Survey;Active;;; ;Central Coast;Oceanography; ;-128.2654;51.8414000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.26539999999994;51.84140000000008
MACRO4;-128.2126;51.903;8;48;Golden Islands;Macro Survey;Active;;; ;Central Coast;Oceanography; ;-128.2126;51.9030000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.21259999999995;51.90300000000008
MACRO5;-128.262;51.959;8;50;Simmonds Group;Macro Survey;Active;;; ;Central Coast;Oceanography; ;-128.262;51.9590000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.26199999999994;51.95900000000006
MACRO6;-128.3646;52.0836;8;20;Stryker Group;Macro Survey;Active;;; ;Central Coast;Oceanography; ;-128.3646;52.0836;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.3646;52.08360000000005
MACRO7;-128.3685;52.1497;8;45;Thompson Bay;Macro Survey;Active;;; ;Central Coast;Oceanography; ;-128.3685;52.1497000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.36849999999998;52.14970000000005
MACRO8;-128.4037;52.0579;8;18;McMullins Group;Macro Survey;Active;;; ;Central Coast;Oceanography; ;-128.4037;52.0579000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.40369999999996;52.057900000000075
MACRO9;-128.4599;51.9204;8;1;South end of Goose Island;Macro Survey;Active;;; ;Central Coast;Oceanography; ;-128.4599;51.9204;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.45989999999995;51.92040000000003
MEA01;-128.0912;51.6626;40;48;Meay Channel;Kwakshua;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.0912;51.6626000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.09119999999996;51.662600000000054
MEA02;-128.0876;51.6754;54;49;Meay Channel;Kwakshua;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.0876;51.6754000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.08759999999995;51.67540000000008
MEA03;-128.0873;51.6847;55;49;Meay Channel;Kwakshua;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.0873;51.6847000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.08729999999997;51.68470000000008
MEA04;-128.0693;51.6928;8;52;Meay Channel;SOMS;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.0693;51.6928;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.06929999999994;51.692800000000034
MEA05;-128.0688;51.69093333;8;;Meay Channel;SOMS;Not Active;;;Discontinued;Central Coast;Oceanography; ;-128.0688;51.6909333300001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.06879999999995;51.690933330000064
MEAY KK;-128.0954;51.6645; ;42; ; ; ;;; ;Central Coast;Oceanography; ;-128.0954;51.6645;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.09539999999998;51.66450000000003
NBCH01;-128.1433;51.6678;15;9;North East of Surf Island;Queen Charlotte Sound, Ver. 2;Active;;; ;Central Coast;Oceanography; ;-128.1433;51.6678000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.14329999999995;51.66780000000006
NLU02;-128.0509;51.8161;59;50;Nalau Passage;North Herring;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.0509;51.8161000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.05089999999996;51.81610000000006
NLU03;-128.0512;51.7937;55;99;Nalau Passage;North Herring;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.0512;51.7937000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.0512;51.79370000000006
NMU01;-127.883;51.8365;80;49;Warrior Cove;North Herring;Active;12/31/2012;; ;Central Coast;Oceanography; ;-127.883;51.8365000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.88299999999998;51.83650000000006
NMU03;-127.8627;51.8672;18;10;Namu Harbour;North Herring;Active;12/31/2012;; ;Central Coast;Oceanography; ;-127.8627;51.8672000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.86269999999996;51.86720000000008
NMU04;-127.8629;51.8842;42;39;Harlequin Basin;North Herring;Active;12/31/2012;; ;Central Coast;Oceanography; ;-127.8629;51.8842000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.86289999999995;51.88420000000008
NP;-128.1222;51.6769; ;6;Choked Pass; ; ;;; ;Central Coast;Oceanography; ;-128.1222;51.6769;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.12219999999996;51.676900000000046
PRUTH;-128.0913;51.6554;75;51;Kwakshua Channel;Kwakshua, Primary Productivity;Active;12/31/2009;; ;Central Coast;Oceanography; ;-128.0913;51.6554;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.0913;51.65540000000004
QCS01;-128.2384;51.705;125;138;Hakai Pass/ Queen Charlotte Sound;Queen Charlotte Sound, Ver. 1, West Coast Survey;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.2384;51.705;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.23839999999996;51.70500000000004
QCS02;-128.2931;51.6948;143;129;Hakai Pass/ Queen Charlotte Sound;Queen Charlotte Sound, Ver. 1, West Coast Survey;Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.2931;51.6948;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.29309999999998;51.69480000000004
QCS03;-128.2634;51.6342;130;134;West side of Calvert;West Coast Survey;Active;12/31/2014;; ;Central Coast;Oceanography; ;-128.2634;51.6342000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.2634;51.63420000000008
QCS04;-128.2397;51.5677;128;123;West side of Calvert;West Coast Survey;Active;12/31/2014;; ;Central Coast;Oceanography; ;-128.2397;51.5677000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.23969999999997;51.56770000000006
QCS05;-128.2058;51.4735;110;109;West side of Calvert;West Coast Survey;Active;12/31/2014;; ;Central Coast;Oceanography; ;-128.2058;51.4735000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.20579999999995;51.47350000000006
QCS06;-128.0568;51.4186;123;124;West side of Calvert;West Coast Survey;Active;12/31/2014;; ;Central Coast;Oceanography; ;-128.0568;51.4186;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.05679999999995;51.418600000000026
QCS07;-127.907733;51.381317;134;132;West side of Calvert;West Coast Survey;Active;12/31/2014;; ;Central Coast;Oceanography; ;-127.907733;51.3813170000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.90773299999996;51.38131700000008
QSD01;-128.360883;51.85355;160;160;Queens Sound;Outer Shores;Not Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.360883;51.85355;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.36088299999994;51.85355000000004
QSD02;-128.3504;51.9581;180;183;Queens Sound;Outer Shores;Not Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.3504;51.9581000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.35039999999998;51.95810000000006
QSD03;-128.417267;52.019433;35;40;Golby Passage;Outer Shores;Not Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.417267;52.019433;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.41726699999998;52.01943300000005
QSD04;-128.47215;52.0338;38;41;Golby Passage;Outer Shores;Not Active;12/31/2012;; ;Central Coast;Oceanography; ;-128.47215;52.0338;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.47214999999994;52.03380000000004
