Station;Long_DD;Lat_DD;Bot_depth;Bot_depth_GIS;Location;Survey;Site_Statu;Site_start;Site_end;note;Region;Program;DataAvaila;POINT_X;POINT_Y;workarea;Organization;CreationDate;Creator;EditDate;Editor;x;y
ALCOVE;-128.1162;51.6752; ;8;Choked Pass; ; ;;; ;Central Coast;Oceanography; ;-128.1162;51.6752000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-128.1162;51.675200000000075
BRK01;-127.889;51.914;150;141;Burke Channel;Burke Channel;Not Active;12/31/2013;; ;Central Coast;Oceanography; ;-127.889;51.9140000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.88899999999995;51.91400000000005
BRK02;-127.843;51.93;135;131;Burke Channel;Burke Channel;Not Active;12/31/2013;; ;Central Coast;Oceanography; ;-127.843;51.9300000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.84299999999996;51.930000000000064
BRK03;-127.8;51.946;140;117;Burke Channel;Burke Channel;Not Active;12/31/2013;; ;Central Coast;Oceanography; ;-127.8;51.946;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.79999999999995;51.946000000000026
BRK04;-127.766;51.955;43;38;Burke Channel;Burke Channel;Not Active;12/31/2013;; ;Central Coast;Oceanography; ;-127.766;51.955;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.76599999999996;51.95500000000004
BRK05;-127.698;51.958;208;203;Burke Channel;Burke Channel;Not Active;12/31/2013;; ;Central Coast;Oceanography; ;-127.698;51.958;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.69799999999998;51.95800000000003
DAWSONS;-127.5923;51.574;30;57;Bickle Channel;Rivers Inlet V2;Active;12/31/2012;; ;Central Coast;Oceanography; ;-127.5923;51.5740000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.59229999999997;51.57400000000007
DFO1;-127.6055;51.4593;299;289;Rivers Inlet;Rivers Inlet V2;Active;;; ;Central Coast;Oceanography; ;-127.6055;51.4593;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.60549999999996;51.45930000000004
DFO2;-127.5583;51.5208;333;330;Rivers Inlet;Rivers Inlet;Active;12/31/2012;; ;Central Coast;Oceanography; ;-127.5583;51.5208000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.55829999999996;51.520800000000065
DFO3;-127.5313;51.6008;324;365;Rivers Inlet;Rivers Inlet V2;Active;;; ;Central Coast;Oceanography; ;-127.5313;51.6008;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.5313;51.60080000000005
DFO4;-127.4493;51.6488;300;312;Rivers Inlet;Rivers Inlet V2;Active;;; ;Central Coast;Oceanography; ;-127.4493;51.6488000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.4493;51.64880000000005
DFO5;-127.3122;51.6773;198;201;Rivers Inlet;Rivers Inlet V2;Active;;; ;Central Coast;Oceanography; ;-127.3122;51.6773000000001;CALVERT;HAKAI;janvier 31, 2020;will.mcinnes;novembre 5, 2021;will.mcinnes;-127.31219999999996;51.67730000000006
